[ROOT] Adam|First Man||Genesis 2:4-5|First Man in charge of all the animals. Falls prey to Satan's schemes and eats forbidden fruit. No natural conception but shaped from the earth.
Asher|Patriarch of Asher Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 7th born son of 12 second given by Zilpah servant of Leah|Jacob,Zilpah
Imnah|Asherite||Genesis 46:17|son of Asher|Asher
Ishvah|Asherite||Genesis 46:17|son of Asher|Asher
Ishvi|Asherite||Genesis 46:17|son of Asher|Asher
Beriah|Asherite||Genesis 46:17|son of Asher|Asher
Heber|Asherite||Genesis 46:17|son of Beriah|Beriah
Malchiel|Asherite||Genesis 46:17|son of Beriah|Beriah
Serah|Asherite||Genesis 46:17|daughter of Asher|Asher
Issachar|Patriarch of Issachar Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 8th born son of 12|Jacob
Tola|Issacharite||Genesis 46:13|son of Issachar|Issachar
Puvah|Issacharite||Genesis 46:13|son of Issachar|Issachar
Yob|Issacharite||Genesis 46:13|son of Issachar|Issachar
Shimron|Issacharite||Genesis 46:13|son of Issachar|Issachar
Zebulun|Patriarch of Zebulun Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 9th born son of 12|Jacob
Sered|Zebulunite||Genesis 46:14|son of Zebulun|Zebulun
Elon|Zebulunite||Genesis 46:14|son of Zebulun|Zebulun
Jahleel|Zebulunite||Genesis 46:14|son of Zebulun|Zebulun
Dinah|Israelite (No Tribe)||Genesis 29-50|Most of stories found in Genesis, daughter of Jacob/Israel|Jacob
Joseph|Israelite (No Tribe)|110|Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 10th born son of 12|Jacob,Rachel
Manasseh|Patriarch of Manasseh Tribe||Genesis 41:51|Most of stories found in Genesis, son of Joseph|Joseph,Asenath
Ephraim|Patriarch of Ephraim Tribe||Genesis 41:52|Most of stories found in Genesis, son of Joseph|Joseph,Asenath
Benjamin|Patriarch of Benjamin Tribe||Genesis 29-50|Most of stories found in Genesis, son of Jacob/Israel 11th born son of 12|Jacob,Rachel
Bela|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Becher|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Ashbel|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Gera|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Naaman|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Ehi|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Rosh|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Muppim|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Huppim|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Ard|Benjaminite||Genesis 46:21|son of Benjamin|Benjamin
Moses|Levite||Exodus-Deuteronomy|Chosen by God to lead Israelites out of slavery. (need to connect to main tree soon)|MosesDad
Aaron|Levite||Exodus-Numbers|Chosen as the first in a dynasty of priests until Eli.|MosesDad
Zipporah|Midianite||Exodus 2:21|Daughter of Jethro Priest of Midian|Jethro
Gershom|Levite||Exodus 2:22|son of Moses|Moses,Zipporah
